"","Origin","Mean_price_euro_per_litter","Price_norm_income_score","income_average_rating"
0,"Netherlands",12.774337485843715,0.6852403250568808,0.3352793656149654
1,"United States",17.370932475884246,1.0300596402259958,0.903734507617347
2,"Spain",15.749722222222223,1.4893818018360556,1.324312086514794
3,"Poland",10.244545454545454,1.1527312473356965,1.502547300449326
4,"England",14.386966205837174,"NaN","NaN"
5,"Canada",19.960917431192662,1.4135864602920607,1.2608113230143179
6,"Sweden",15.641609907120742,1.0573645299152077,0.7374301848953931
7,"Germany",9.052022419430173,0.3633416809862364,0.18435982214547422
8,"Belgium",12.794981041020337,0.7371841576101245,0.4903582408728907
9,"Denmark",14.632284866468842,0.9243718539456164,0.34175651451185407
10,"France",15.00766304347826,1.1200018234619586,1.0081133671074123
11,"Austria",11.685384615384615,0.6010011523340802,0.28055033655536354
12,"Hungary",13.527195571955719,2.7969918446640714,2.004214401397023
13,"Czech Republic",10.730913978494623,1.0835982448860138,1.2904924534672795
15,"Ireland",12.670808823529413,0.8164135275160774,0.6855140076332138
16,"Slovakia",7.983888888888889,0.8938851523493532,0.0
17,"Brazil",13.691739130434783,10.189156619178794,inf
18,"Norway",14.667809917355372,0.7367906525927063,0.38005822329640315
21,"Scotland",15.33,"NaN","NaN"
22,"Italy",15.6384375,1.8796929135651566,1.3079915815235974
23,"Estonia",14.10665306122449,1.8945883839472544,1.3776341194965134
24,"Romania",14.022113402061855,2.39758504965499,3.005710888673586
26,"Croatia",12.521011235955054,"NaN","NaN"
27,"Finland",16.94152777777778,1.3088632053591878,0.9699862408938105
28,"Wales",14.392871287128713,"NaN","NaN"
29,"Latvia",13.982304347826087,"NaN","NaN"
30,"Greece",16.583823529411767,3.402107626069591,3.9493668120731793
34,"Slovenia",13.947368421052632,1.5431708099229726,0.6433275953540013
35,"Serbia",14.087272727272728,6.231107609646511,9.79962151852033
38,"Northern Ireland",13.1465,"NaN","NaN"
39,"Switzerland",20.27868421052632,1.2097063024948174,0.8632353275746488
40,"Ukraine",15.270000000000001,"NaN","NaN"
41,"Portugal",17.340714285714284,"NaN","NaN"
43,"Bulgaria",15.673714285714286,"NaN","NaN"
